TaxonOriginal,TaxonFloraVeg,Status,RegionFloraVeg,TaxonKaplan
Abies alba,Abies alba,LC,Czechia,Abies alba
Abies cephalonica,Abies cephalonica,LC(NA),Czechia,Abies cephalonica
Abies concolor,Abies concolor,LC(NA),Czechia,Abies concolor
Abies grandis,Abies grandis,LC(NA),Czechia,Abies grandis
Abies homolepis,Abies homolepis,LC(NA),Czechia,Abies homolepis
Abies nordmanniana,Abies nordmanniana,LC(NA),Czechia,Abies nordmanniana
Abutilon theophrasti,Abutilon theophrasti,LC(NA),Czechia,Abutilon theophrasti
Acacia farnesiana,,LC(NA),Czechia,Acacia farnesiana
Acanthus hungaricus,Acanthus hungaricus,LC(NA),Czechia,Acanthus hungaricus
Acer campestre,Acer campestre,LC(NA),Czechia,Acer campestre
Acer ginnala,,LC(NA),Czechia,Acer ginnala
Acer japonicum,Acer japonicum,LC(NA),Czechia,Acer japonicum
Acer monspessulanum,Acer monspessulanum,LC(NA),Czechia,Acer monspessulanum
Acer negundo,Acer negundo,LC(NA),Czechia,Acer negundo
Acer palmatum,,LC(NA),Czechia,Acer palmatum
Acer platanoides,Acer platanoides,LC(NA),Czechia,Acer platanoides
Acer pseudoplatanus,Acer pseudoplatanus,LC(NA),Czechia,Acer pseudoplatanus
Acer saccharinum,Acer saccharinum,LC(NA),Czechia,Acer saccharinum
Acer tataricum,Acer tataricum,LC(NA),Czechia,Acer tataricum
Achillea asplenifolia,Achillea aspleniifolia,CR,Czechia,Achillea asplenifolia
Achillea chrysocoma,Achillea chrysocoma,LC(NA),Czechia,Achillea chrysocoma
Achillea collina,Achillea collina,LC(NA),Czechia,Achillea collina
Achillea crithmifolia,Achillea crithmifolia,LC(NA),Czechia,Achillea crithmifolia
Achillea filipendulina,Achillea filipendulina,LC(NA),Czechia,Achillea filipendulina
Achillea grandifolia,Achillea grandifolia,LC(NA),Czechia,Achillea grandifolia
Achillea millefolium subsp. sudetica,Achillea millefolium subsp. sudetica,LC,Czechia,Achillea millefolium subsp. sudetica
Achillea nobilis,Achillea nobilis subsp. neilreichii,LC,Czechia,Achillea nobilis
Achillea nobilis,Achillea nobilis,LC,Czechia,Achillea nobilis
Achillea pannonica,Achillea pannonica,LC,Czechia,Achillea pannonica
Achillea pratensis,Achillea pratensis,LC(NA),Czechia,Achillea pratensis
Achillea ptarmica,Achillea ptarmica,LC(NA),Czechia,Achillea ptarmica
Achillea setacea,Achillea setacea,NT,Czechia,Achillea setacea
Achillea styriaca,Achillea distans,LC,Czechia,Achillea styriaca
Achillea styriaca,Achillea styriaca,LC,Czechia,Achillea styriaca
Achillea tomentosa,Achillea tomentosa,LC(NA),Czechia,Achillea tomentosa
Achnatherum calamagrostis,Achnatherum calamagrostis,LC(NA),Czechia,Achnatherum calamagrostis
Acinos arvensis subsp. eglandulosus,Clinopodium acinos,DD,Czechia,Acinos arvensis subsp. eglandulosus
Aconitum anthora,Aconitum anthora,NT,Czechia,Aconitum anthora
Aconitum firmum,,VU,Czechia,Aconitum firmum subsp. moravicum
Aconitum firmum subsp. moravicum,Aconitum firmum,VU,Czechia,Aconitum firmum subsp. moravicum
Aconitum lycoctonum,Aconitum lycoctonum,LC,Czechia,Aconitum lycoctonum
Aconitum lycoctonum subsp. lycoctonum,Aconitum lycoctonum subsp. vulparia,LC,Czechia,Aconitum lycoctonum subsp. lycoctonum
Aconitum lycoctonum subsp. vulparia,,DD,Czechia,Aconitum lycoctonum subsp. vulparia
Aconitum plicatum,Aconitum plicatum,LC,Czechia,Aconitum plicatum
Aconitum plicatum,,LC,Czechia,Aconitum plicatum
Aconitum variegatum,,LC,Czechia,Aconitum variegatum
Aconitum variegatum,Aconitum variegatum,LC,Czechia,Aconitum variegatum
Aconitum variegatum,Aconitum variegatum subsp. variegatum,LC,Czechia,Aconitum variegatum
Acorus calamus,Acorus calamus,LC(NA),Czechia,Acorus calamus
Actaea europaea,Actaea europaea,EN,Czechia,Actaea europaea
Actaea spicata,Actaea spicata,LC(NA),Czechia,Actaea spicata
Actinidia deliciosa,,LC(NA),Czechia,Actinidia deliciosa
Adenophora liliifolia,Adenophora liliifolia,CR,Czechia,Adenophora liliifolia
Adenostyles alliariae,Adenostyles alliariae,LC,Czechia,Adenostyles alliariae
Adenostyles alliariae subsp. alliariae,,LC,Czechia,Adenostyles alliariae subsp. alliariae
Adonis aestivalis,Adonis aestivalis,NT,Czechia,Adonis aestivalis
Adonis aestivalis subsp. aestivalis,,NT,Czechia,Adonis aestivalis subsp. aestivalis
Adonis annua,Adonis annua,LC(NA),Czechia,Adonis annua
Adonis flammea,Adonis flammea,CR,Czechia,Adonis flammea
Adonis vernalis,Adonis vernalis,VU,Czechia,Adonis vernalis
Adoxa moschatellina,Adoxa moschatellina,LC(NA),Czechia,Adoxa moschatellina
Aegilops cylindrica,Aegilops cylindrica,LC(NA),Czechia,Aegilops cylindrica
Aegilops geniculata,Aegilops geniculata,LC(NA),Czechia,Aegilops geniculata
Aegopodium podagraria,Aegopodium podagraria,LC(NA),Czechia,Aegopodium podagraria
Aesculus flava,,LC(NA),Czechia,Aesculus flava
Aesculus hippocastanum,Aesculus hippocastanum,LC(NA),Czechia,Aesculus hippocastanum
Aesculus pavia,,LC(NA),Czechia,Aesculus pavia
Aethionema grandiflorum,,LC(NA),Czechia,Aethionema grandiflorum
Aethusa cynapioides,Aethusa cynapium subsp. elata,NT,Czechia,Aethusa cynapioides
Ageratina altissima,,LC(NA),Czechia,Ageratina altissima
Ageratum houstonianum,,LC(NA),Czechia,Ageratum houstonianum
Agrimonia eupatoria,Agrimonia eupatoria,LC(NA),Czechia,Agrimonia eupatoria
Agrimonia procera,Agrimonia procera,NT,Czechia,Agrimonia procera
Agropyron pectinatum,Agropyron cristatum subsp. pectinatum,CR,Czechia,Agropyron pectinatum
Agrostemma githago,Agrostemma githago,CR,Czechia,Agrostemma githago
Agrostis alpina,Agrostis alpina,EN,Czechia,Agrostis alpina
Agrostis canina,Agrostis canina,LC(NA),Czechia,Agrostis canina
Agrostis capillaris,Agrostis capillaris,LC(NA),Czechia,Agrostis capillaris
Agrostis gigantea,Agrostis gigantea,LC(NA),Czechia,Agrostis gigantea
Agrostis rupestris,Agrostis rupestris,EN,Czechia,Agrostis rupestris
Agrostis rupestris subsp. rupestris,,EN,Czechia,Agrostis rupestris subsp. rupestris
Agrostis scabra,,LC(NA),Czechia,Agrostis scabra
Agrostis stolonifera,Agrostis stolonifera,LC(NA),Czechia,Agrostis stolonifera
Agrostis vinealis,Agrostis vinealis,LC(NA),Czechia,Agrostis vinealis
Ailanthus altissima,Ailanthus altissima,LC(NA),Czechia,Ailanthus altissima
Aira caryophyllea,Aira caryophyllea,CR,Czechia,Aira caryophyllea
Aira praecox,Aira praecox,EN,Czechia,Aira praecox
Ajuga chamaepitys,,CR,Czechia,Ajuga chamaepitys subsp. chamaepitys
Ajuga chamaepitys subsp. chamaepitys,,CR,Czechia,Ajuga chamaepitys subsp. chamaepitys
Ajuga chamaepitys subsp. chamaepitys,Ajuga chamaepitys,CR,Czechia,Ajuga chamaepitys subsp. chamaepitys
Ajuga chamaepitys subsp. chia,,NA,Czechia,Ajuga chamaepitys subsp. chia
Ajuga genevensis,Ajuga genevensis,LC(NA),Czechia,Ajuga genevensis
Ajuga pyramidalis,Ajuga pyramidalis,EN,Czechia,Ajuga pyramidalis
Ajuga reptans,Ajuga reptans,LC(NA),Czechia,Ajuga reptans
Akebia quinata,,LC(NA),Czechia,Akebia quinata
Alcea biennis,Alcea biennis,EN,Czechia,Alcea biennis
Alcea biennis subsp. biennis,,EN,Czechia,Alcea biennis subsp. biennis
Alcea rosea,Alcea rosea,LC(NA),Czechia,Alcea rosea
Alcea rugosa,Alcea rugosa,LC(NA),Czechia,Alcea rugosa
Alchemilla acutiloba,,LC(NA),Czechia,Alchemilla acutiloba
Alchemilla alpina,Alchemilla alpina,LC(NA),Czechia,Alchemilla alpina
Alchemilla baltica,Alchemilla baltica,EN,Czechia,Alchemilla baltica
Alchemilla conjuncta,Alchemilla conjuncta,LC(NA),Czechia,Alchemilla conjuncta
Alchemilla crinita,Alchemilla crinita,LC(NA),Czechia,Alchemilla crinita
Alchemilla cymatophylla,Alchemilla cymatophylla,LC(NA),Czechia,Alchemilla cymatophylla
Alchemilla effusa,Alchemilla effusa,NT,Czechia,Alchemilla effusa
Alchemilla effusa,,NT,Czechia,Alchemilla effusa
Alchemilla filicaulis subsp. filicaulis,,DD,Czechia,Alchemilla filicaulis subsp. filicaulis
Alchemilla filicaulis subsp. vestita,Alchemilla filicaulis,DD,Czechia,Alchemilla filicaulis subsp. vestita
Alchemilla fissa,Alchemilla fissa,EN,Czechia,Alchemilla fissa
Alchemilla flabellata,Alchemilla flabellata,DD,Czechia,Alchemilla flabellata
Alchemilla glabra,Alchemilla glabra,LC(NA),Czechia,Alchemilla glabra
Alchemilla glabricaulis,,DD,Czechia,Alchemilla glabricaulis
Alchemilla glaucescens,Alchemilla glaucescens,LC(NA),Czechia,Alchemilla glaucescens
Alchemilla gruneica,Alchemilla gruneica,LC,Czechia,Alchemilla gruneica
Alchemilla micans,Alchemilla micans,LC(NA),Czechia,Alchemilla micans
Alchemilla mollis,Alchemilla mollis,LC(NA),Czechia,Alchemilla mollis
Alchemilla monticola,Alchemilla monticola,LC(NA),Czechia,Alchemilla monticola
Alchemilla obtusa,Alchemilla obtusa,VU,Czechia,Alchemilla obtusa
Alchemilla obtusa subsp. obtusa,Alchemilla obtusa,VU,Czechia,Alchemilla obtusa subsp. obtusa
Alchemilla obtusa subsp. trapezialis,Alchemilla obtusa,DD,Czechia,Alchemilla obtusa subsp. trapezialis
Alchemilla plicata,Alchemilla plicata,LC(NA),Czechia,Alchemilla plicata
Alchemilla propinqua,Alchemilla propinqua,DD,Czechia,Alchemilla propinqua
Alchemilla reniformis,Alchemilla reniformis,VU,Czechia,Alchemilla reniformis
Alchemilla sericata,,LC(NA),Czechia,Alchemilla sericata
Alchemilla speciosa,Alchemilla speciosa,LC(NA),Czechia,Alchemilla speciosa
Alchemilla straminea,Alchemilla straminea,NT,Czechia,Alchemilla straminea
Alchemilla suavis,Alchemilla suavis,EN,Czechia,Alchemilla suavis
Alchemilla subcrenata,Alchemilla subcrenata,LC(NA),Czechia,Alchemilla subcrenata
Alchemilla subglobosa,Alchemilla subglobosa,LC(NA),Czechia,Alchemilla subglobosa
Alchemilla tytthantha,Alchemilla tytthantha,LC(NA),Czechia,Alchemilla tytthantha
Alchemilla walasii,Alchemilla walasii,DD,Czechia,Alchemilla walasii
Alchemilla xanthochlora,Alchemilla xanthochlora,LC(NA),Czechia,Alchemilla xanthochlora
Aldrovanda vesiculosa,Aldrovanda vesiculosa,RE,Czechia,Aldrovanda vesiculosa
Alhagi maurorum,,LC(NA),Czechia,Alhagi maurorum
Alisma gramineum,Alisma gramineum,EN,Czechia,Alisma gramineum
Alisma lanceolatum,Alisma lanceolatum,LC(NA),Czechia,Alisma lanceolatum
Alisma plantago-aquatica,Alisma plantago-aquatica,LC(NA),Czechia,Alisma plantago-aquatica
Alliaria petiolata,Alliaria petiolata,LC(NA),Czechia,Alliaria petiolata
Allium angulosum,Allium angulosum,NT,Czechia,Allium angulosum
Allium atropurpureum,Allium atropurpureum,LC(NA),Czechia,Allium atropurpureum
Allium atroviolaceum,Allium atroviolaceum,LC(NA),Czechia,Allium atroviolaceum
Allium caeruleum,,LC(NA),Czechia,Allium caeruleum
Allium carinatum,Allium carinatum,NT,Czechia,Allium carinatum
Allium carinatum,Allium carinatum subsp. carinatum,NT,Czechia,Allium carinatum
Allium cepa,Allium cepa,LC(NA),Czechia,Allium cepa
Allium cristophii,,LC(NA),Czechia,Allium cristophii
Allium fistulosum,,LC(NA),Czechia,Allium fistulosum
Allium flavum,Allium flavum,NT,Czechia,Allium flavum
Allium flavum subsp. flavum,,NT,Czechia,Allium flavum subsp. flavum
Allium fuscum,,LC(NA),Czechia,Allium fuscum
Allium giganteum,,LC(NA),Czechia,Allium giganteum
Allium hollandicum,,LC(NA),Czechia,Allium hollandicum
Allium karataviense,,LC(NA),Czechia,Allium karataviense
Allium moly,Allium moly,LC(NA),Czechia,Allium moly
Allium nutans,Allium nutans,LC(NA),Czechia,Allium nutans
Allium oleraceum,Allium oleraceum,LC(NA),Czechia,Allium oleraceum
Allium oreophilum,,LC(NA),Czechia,Allium oreophilum
Allium paradoxum,Allium paradoxum,LC(NA),Czechia,Allium paradoxum
Allium porrum,Allium ampeloprasum,LC(NA),Czechia,Allium porrum
Allium roseum,Allium roseum,LC(NA),Czechia,Allium roseum
Allium rotundum,Allium rotundum,NT,Czechia,Allium rotundum
Allium rotundum subsp. rotundum,,NT,Czechia,Allium rotundum subsp. rotundum
Allium sativum,Allium sativum,LC(NA),Czechia,Allium sativum
Allium schoenoprasum,Allium schoenoprasum,NT,Czechia,Allium schoenoprasum
Allium schoenoprasum subsp. schoenoprasum,Allium schoenoprasum subsp. schoenoprasum,NT,Czechia,Allium schoenoprasum subsp. schoenoprasum
Allium scorodoprasum,Allium scorodoprasum,LC(NA),Czechia,Allium scorodoprasum
Allium senescens,Allium senescens,LC,Czechia,Allium senescens
Allium senescens subsp. montanum,Allium lusitanicum,LC,Czechia,Allium senescens subsp. montanum
Allium sphaerocephalon,Allium sphaerocephalon,EN,Czechia,Allium sphaerocephalon
Allium sphaerocephalon subsp. sphaerocephalon,,EN,Czechia,Allium sphaerocephalon subsp. sphaerocephalon
Allium stipitatum,,LC(NA),Czechia,Allium stipitatum
Allium strictum,Allium strictum,EN,Czechia,Allium strictum
Allium tuberosum,,LC(NA),Czechia,Allium tuberosum
Allium ursinum,Allium ursinum,LC,Czechia,Allium ursinum
Allium ursinum subsp. ucrainicum,Allium ursinum,LC,Czechia,Allium ursinum subsp. ucrainicum
Allium ursinum subsp. ursinum,,LC,Czechia,Allium ursinum subsp. ursinum
Allium victorialis,Allium victorialis,EN,Czechia,Allium victorialis
Allium vineale,Allium vineale,LC(NA),Czechia,Allium vineale
Allium zebdanense,,LC(NA),Czechia,Allium zebdanense
Alnus alnobetula,Alnus viridis subsp. viridis,VU,Czechia,Alnus alnobetula
Alnus glutinosa,Alnus glutinosa,LC(NA),Czechia,Alnus glutinosa
Alnus incana,Alnus incana,LC(NA),Czechia,Alnus incana
Alnus rugosa,,LC(NA),Czechia,Alnus rugosa
Alopecurus aequalis,Alopecurus aequalis,LC(NA),Czechia,Alopecurus aequalis
Alopecurus geniculatus,Alopecurus geniculatus,LC(NA),Czechia,Alopecurus geniculatus
Alopecurus myosuroides,Alopecurus myosuroides,LC(NA),Czechia,Alopecurus myosuroides
Alopecurus pratensis,Alopecurus pratensis,LC(NA),Czechia,Alopecurus pratensis
Alopecurus pratensis,,LC(NA),Czechia,Alopecurus pratensis
Alopecurus pratensis,Alopecurus pratensis subsp. pratensis,LC(NA),Czechia,Alopecurus pratensis
Alopecurus rendlei,Alopecurus rendlei,LC(NA),Czechia,Alopecurus rendlei
Althaea armeniaca,Althaea armeniaca,LC(NA),Czechia,Althaea armeniaca
Althaea hirsuta,Althaea hirsuta,LC(NA),Czechia,Althaea hirsuta
Althaea officinalis,Althaea officinalis,EN,Czechia,Althaea officinalis
Althaea taurinensis,,LC(NA),Czechia,Althaea taurinensis
Alyssum alyssoides,Alyssum alyssoides,LC(NA),Czechia,Alyssum alyssoides
Alyssum argenteum,Odontarrhena argentea,LC(NA),Czechia,Alyssum argenteum
Alyssum montanum,Alyssum montanum subsp. montanum,NT,Czechia,Alyssum montanum
Alyssum montanum,Alyssum montanum,NT,Czechia,Alyssum montanum
Alyssum montanum subsp. gmelinii,Alyssum gmelinii,NT,Czechia,Alyssum montanum subsp. gmelinii
Alyssum murale,Odontarrhena muralis,LC(NA),Czechia,Alyssum murale
Alyssum rostratum,Alyssum rostratum,LC(NA),Czechia,Alyssum rostratum
Amaranthus acutilobus,,LC(NA),Czechia,Amaranthus acutilobus
Amaranthus albus,Amaranthus albus,LC(NA),Czechia,Amaranthus albus
Amaranthus blitoides,Amaranthus blitoides,LC(NA),Czechia,Amaranthus blitoides
Amaranthus blitum,Amaranthus blitum,VU,Czechia,Amaranthus blitum
Amaranthus blitum subsp. blitum,,VU,Czechia,Amaranthus blitum subsp. blitum
Amaranthus bouchonii,Amaranthus bouchonii,LC(NA),Czechia,Amaranthus bouchonii
Amaranthus caudatus,Amaranthus caudatus,LC(NA),Czechia,Amaranthus caudatus
Amaranthus crispus,Amaranthus crispus,LC(NA),Czechia,Amaranthus crispus
Amaranthus cruentus,Amaranthus cruentus,LC(NA),Czechia,Amaranthus cruentus
Amaranthus deflexus,Amaranthus deflexus,LC(NA),Czechia,Amaranthus deflexus
Amaranthus emarginatus,,LC(NA),Czechia,Amaranthus emarginatus
Amaranthus graecizans subsp. sylvestris,,RE,Czechia,Amaranthus graecizans subsp. sylvestris
Amaranthus hybridus,Amaranthus hybridus,LC(NA),Czechia,Amaranthus hybridus
Amaranthus hypochondriacus,Amaranthus hypochondriacus,LC(NA),Czechia,Amaranthus hypochondriacus
Amaranthus palmeri,,LC(NA),Czechia,Amaranthus palmeri
Amaranthus powellii,Amaranthus powellii,LC(NA),Czechia,Amaranthus powellii
Amaranthus quitensis,,LC(NA),Czechia,Amaranthus quitensis
Amaranthus retroflexus,Amaranthus retroflexus,LC(NA),Czechia,Amaranthus retroflexus
Amaranthus rudis,,LC(NA),Czechia,Amaranthus rudis
Amaranthus spinosus,Amaranthus spinosus,LC(NA),Czechia,Amaranthus spinosus
Amaranthus viridis,Amaranthus viridis,LC(NA),Czechia,Amaranthus viridis
Ambrosia artemisiifolia,Ambrosia artemisiifolia,LC(NA),Czechia,Ambrosia artemisiifolia
Ambrosia psilostachya,Ambrosia psilostachya,LC(NA),Czechia,Ambrosia psilostachya
Ambrosia trifida,Ambrosia trifida,LC(NA),Czechia,Ambrosia trifida
Amelanchier alnifolia,,LC(NA),Czechia,Amelanchier alnifolia
Amelanchier lamarckii,Amelanchier lamarckii,LC(NA),Czechia,Amelanchier lamarckii
Amelanchier ovalis,Amelanchier ovalis,LC(NA),Czechia,Amelanchier ovalis
Amelanchier spicata,Amelanchier spicata,LC(NA),Czechia,Amelanchier spicata
Ammi majus,Ammi majus,LC(NA),Czechia,Ammi majus
Ammi visnaga,Ammi visnaga,LC(NA),Czechia,Ammi visnaga
Ammobium alatum,,LC(NA),Czechia,Ammobium alatum
Amorpha fruticosa,Amorpha fruticosa,LC(NA),Czechia,Amorpha fruticosa
Amsinckia lycopsoides,Amsinckia lycopsoides,LC(NA),Czechia,Amsinckia lycopsoides
Anacamptis coriophora,Anacamptis coriophora,RE,Czechia,Anacamptis coriophora
Anacamptis coriophora subsp. coriophora,,RE,Czechia,Anacamptis coriophora subsp. coriophora
Anacamptis morio,Anacamptis morio,CR,Czechia,Anacamptis morio
Anacamptis morio subsp. morio,,CR,Czechia,Anacamptis morio subsp. morio
Anacamptis palustris,Anacamptis palustris,CR,Czechia,Anacamptis palustris
Anacamptis pyramidalis,Anacamptis pyramidalis,CR,Czechia,Anacamptis pyramidalis
Anacyclus clavatus,Anacyclus clavatus,LC(NA),Czechia,Anacyclus clavatus
Anagallis arvensis,Anagallis arvensis,LC(NA),Czechia,Anagallis arvensis
Anagallis foemina,Anagallis foemina,NT,Czechia,Anagallis foemina
Anagallis monelli,Anagallis monelli,LC(NA),Czechia,Anagallis monelli
Anaphalis margaritacea,Anaphalis margaritacea,LC(NA),Czechia,Anaphalis margaritacea
Anchusa azurea,Anchusa azurea,LC(NA),Czechia,Anchusa azurea
Anchusa officinalis,Anchusa officinalis,LC(NA),Czechia,Anchusa officinalis
Andromeda polifolia,Andromeda polifolia,VU,Czechia,Andromeda polifolia
Androsace elongata,Androsace elongata,NT,Czechia,Androsace elongata
Androsace maxima,Androsace maxima,CR,Czechia,Androsace maxima
Androsace septentrionalis,Androsace septentrionalis,CR,Czechia,Androsace septentrionalis
Anemonastrum narcissiflorum,Anemonastrum narcissiflorum,CR,Czechia,Anemonastrum narcissiflorum
Anemone hupehensis,,LC(NA),Czechia,Anemone hupehensis
Anemone nemorosa,Anemone nemorosa,LC(NA),Czechia,Anemone nemorosa
Anemone ranunculoides,Anemone ranunculoides,LC(NA),Czechia,Anemone ranunculoides
Anemone sylvestris,Anemone sylvestris,EN,Czechia,Anemone sylvestris
Anethum graveolens,Anethum graveolens,LC(NA),Czechia,Anethum graveolens
Angelica archangelica,Angelica archangelica,LC(NA),Czechia,Angelica archangelica
Angelica palustris,Angelica palustris,CR,Czechia,Angelica palustris
Angelica sylvestris subsp. bernardiae,Angelica sylvestris subsp. sylvestris,DD,Czechia,Angelica sylvestris subsp. bernardiae
Anoda cristata,,LC(NA),Czechia,Anoda cristata
Antennaria dioica,Antennaria dioica,EN,Czechia,Antennaria dioica
Anthemis arvensis,Anthemis arvensis,LC(NA),Czechia,Anthemis arvensis
Anthemis austriaca,Cota austriaca,NT,Czechia,Anthemis austriaca
Anthemis cotula,Anthemis cotula,EN,Czechia,Anthemis cotula
Anthemis cretica,Anthemis cretica,LC(NA),Czechia,Anthemis cretica
Anthemis ruthenica,Anthemis ruthenica,NT,Czechia,Anthemis ruthenica
Anthemis tinctoria,Cota tinctoria,NT,Czechia,Anthemis tinctoria
Anthemis tinctoria subsp. subtinctoria,Cota tinctoria,NT,Czechia,Anthemis tinctoria subsp. subtinctoria
Anthemis tinctoria subsp. tinctoria,Cota tinctoria subsp. tinctoria,DD,Czechia,Anthemis tinctoria subsp. tinctoria
Anthericum liliago,Anthericum liliago,NT,Czechia,Anthericum liliago
Anthericum ramosum,Anthericum ramosum,LC,Czechia,Anthericum ramosum
Anthoxanthum alpinum,Anthoxanthum alpinum,LC(NA),Czechia,Anthoxanthum alpinum
Anthoxanthum aristatum,Anthoxanthum aristatum,LC(NA),Czechia,Anthoxanthum aristatum
Anthoxanthum odoratum,Anthoxanthum odoratum,LC(NA),Czechia,Anthoxanthum odoratum
Anthriscus caucalis,Anthriscus caucalis,EN,Czechia,Anthriscus caucalis
Anthriscus cerefolium var. trichocarpus,Anthriscus cerefolium,LC,Czechia,Anthriscus cerefolium var. trichocarpus
Anthriscus nitidus,Anthriscus nitidus,LC(NA),Czechia,Anthriscus nitidus
Anthriscus sylvestris,Anthriscus sylvestris,LC(NA),Czechia,Anthriscus sylvestris
Anthyllis vulneraria subsp. carpatica,Anthyllis vulneraria subsp. carpatica,DD,Czechia,Anthyllis vulneraria subsp. carpatica
Anthyllis vulneraria subsp. polyphylla,Anthyllis vulneraria subsp. polyphylla,DD,Czechia,Anthyllis vulneraria subsp. polyphylla
Antirrhinum majus,Antirrhinum majus,LC(NA),Czechia,Antirrhinum majus
Apera interrupta,Apera interrupta,RE,Czechia,Apera interrupta
Apera spica-venti,Apera spica-venti,LC(NA),Czechia,Apera spica-venti
Aphanes arvensis,Aphanes arvensis,NT,Czechia,Aphanes arvensis
Aphanes australis,Aphanes australis,VU,Czechia,Aphanes australis
Apium graveolens,Apium graveolens,LC(NA),Czechia,Apium graveolens
Aposeris foetida,Aposeris foetida,CR,Czechia,Aposeris foetida
Aquilegia atrata,Aquilegia atrata,LC(NA),Czechia,Aquilegia atrata
Aquilegia vulgaris,Aquilegia vulgaris,NT,Czechia,Aquilegia vulgaris
Arabidopsis arenosa subsp. borbasii,Arabidopsis arenosa subsp. borbasii,DD,Czechia,Arabidopsis arenosa subsp. borbasii
Arabidopsis halleri,Arabidopsis halleri,LC(NA),Czechia,Arabidopsis halleri
Arabidopsis petraea,Arabidopsis petraea,VU,Czechia,Arabidopsis petraea
Arabidopsis thaliana,Arabidopsis thaliana,LC(NA),Czechia,Arabidopsis thaliana
Arabis alpina,Arabis alpina,LC(NA),Czechia,Arabis alpina
Arabis auriculata,Arabis auriculata,LC,Czechia,Arabis auriculata
Arabis caucasica,Arabis alpina subsp. caucasica,LC(NA),Czechia,Arabis caucasica
Arabis glabra,Arabis glabra,LC(NA),Czechia,Arabis glabra
Arabis hirsuta,Arabis hirsuta,LC(NA),Czechia,Arabis hirsuta
Arabis nemorensis,Arabis nemorensis,EN,Czechia,Arabis nemorensis
Arabis pauciflora,Fourraea alpina,NT,Czechia,Arabis pauciflora
Arabis procurrens,Arabis procurrens,LC(NA),Czechia,Arabis procurrens
Arabis sagittata,Arabis sagittata,NT,Czechia,Arabis sagittata
Arabis sudetica,Arabis sudetica,EN,Czechia,Arabis sudetica
Arabis turrita,Pseudoturritis turrita,VU,Czechia,Arabis turrita
Aralia elata,,LC(NA),Czechia,Aralia elata
Arctium lappa,Arctium lappa,LC(NA),Czechia,Arctium lappa
Arctium minus,Arctium minus,LC(NA),Czechia,Arctium minus
Arctium nemorosum,Arctium nemorosum,LC,Czechia,Arctium nemorosum
Arctium tomentosum,Arctium tomentosum,LC(NA),Czechia,Arctium tomentosum
Arctostaphylos uva-ursi,Arctostaphylos uva-ursi,EN,Czechia,Arctostaphylos uva-ursi
Arctotheca calendula,Arctotheca calendula,LC(NA),Czechia,Arctotheca calendula
Aremonia agrimonoides,Aremonia agrimonoides,VU,Czechia,Aremonia agrimonoides
Aremonia agrimonoides subsp. agrimonoides,,VU,Czechia,Aremonia agrimonoides subsp. agrimonoides
Arenaria grandiflora,Arenaria grandiflora,VU,Czechia,Arenaria grandiflora
Arenaria leptoclados,Arenaria leptoclados,DD,Czechia,Arenaria leptoclados
Arenaria serpyllifolia,Arenaria patula,LC(NA),Czechia,Arenaria serpyllifolia
Arenaria serpyllifolia,Arenaria serpyllifolia,LC(NA),Czechia,Arenaria serpyllifolia
Argemone mexicana,Argemone mexicana,LC(NA),Czechia,Argemone mexicana
Argyranthemum frutescens,Argyranthemum frutescens,LC(NA),Czechia,Argyranthemum frutescens
Aristolochia clematitis,Aristolochia clematitis,NT,Czechia,Aristolochia clematitis
Aristolochia macrophylla,,LC(NA),Czechia,Aristolochia macrophylla
Armeria elongata,Armeria maritima subsp. elongata,NT,Czechia,Armeria elongata
Armeria elongata subsp. elongata,Armeria maritima subsp. elongata,NT,Czechia,Armeria elongata subsp. elongata
Armeria elongata subsp. serpentini,Armeria maritima subsp. elongata,VU,Czechia,Armeria elongata subsp. serpentini
Armeria maritima,Armeria maritima,LC(NA),Czechia,Armeria maritima
Armoracia rusticana,Armoracia rusticana,LC(NA),Czechia,Armoracia rusticana
Arnica montana,Arnica montana,NT,Czechia,Arnica montana
Arnica montana subsp. montana,,NT,Czechia,Arnica montana subsp. montana
Arnoseris minima,Arnoseris minima,CR,Czechia,Arnoseris minima
Aronia melanocarpa,,LC(NA),Czechia,Aronia melanocarpa
Arrhenatherum elatius,Arrhenatherum elatius,LC(NA),Czechia,Arrhenatherum elatius
Arrhenatherum elatius,Arrhenatherum elatius subsp. bulbosum,LC(NA),Czechia,Arrhenatherum elatius
Artemisia abrotanum,Artemisia abrotanum,LC(NA),Czechia,Artemisia abrotanum
Artemisia absinthium,Artemisia absinthium,LC(NA),Czechia,Artemisia absinthium
Artemisia alba,Artemisia alba,CR,Czechia,Artemisia alba
Artemisia alpina,,LC(NA),Czechia,Artemisia alpina
Artemisia annua,Artemisia annua,LC(NA),Czechia,Artemisia annua
Artemisia austriaca,Artemisia austriaca,NE,Czechia,Artemisia austriaca
Artemisia biennis,Artemisia biennis,LC(NA),Czechia,Artemisia biennis
Artemisia campestris,Artemisia campestris,LC(NA),Czechia,Artemisia campestris
Artemisia dracunculus,Artemisia dracunculus,LC(NA),Czechia,Artemisia dracunculus
Artemisia ludoviciana,,LC(NA),Czechia,Artemisia ludoviciana subsp. ludoviciana
Artemisia pancicii,Artemisia pancicii,EN,Czechia,Artemisia pancicii
Artemisia pontica,Artemisia pontica,NT,Czechia,Artemisia pontica
