releve_nr,valid_name,to_br_bl_old
27,Pinus sylvestris,0.5
27,Rumex acetosella,0.5
28,Agrostis vinealis,0.5
28,Carex praecox,0.5
28,Corynephorus canescens,15
28,Eryngium campestre,0.5
28,Euphorbia cyparissias,0.5
28,Festuca psammophila subsp. dominii,0.5
28,Helichrysum arenarium,0.5
28,Hypericum perforatum,3
28,Poa pratensis agg.,0.5
28,Rumex acetosella,15
28,Stipa borysthenica,15
28,Thymus serpyllum,15
28,Verbascum phoeniceum,0.5
28,Seseli osseum,0.5
29,Achillea millefolium agg.,0.1
29,Agrostis vinealis,0.5
29,Anthoxanthum odoratum,15
29,Artemisia campestris,0.5
29,Calamagrostis epigejos,0.5
29,Carex hirta,0.1
29,Carex praecox,0.5
29,Cirsium arvense,0.5
29,Corynephorus canescens,15
29,Euphorbia cyparissias,0.5
29,Festuca psammophila subsp. dominii,15
29,Helichrysum arenarium,15
29,Pilosella officinarum,0.5
29,Hypericum perforatum,0.5
29,Hypochaeris radicata,0.5
29,Jasione montana,0.5
29,Linaria genistifolia,0.5
29,Luzula campestris,0.5
29,Poa pratensis agg.,0.5
29,Rumex acetosella,0.5
29,Silene otites,0.1
29,Stipa borysthenica,3
29,Thymus serpyllum,15
29,Verbascum phoeniceum,0.5
30,Achillea millefolium agg.,0.5
30,Agrostis vinealis,15
30,Anthoxanthum odoratum,3
30,Arabis glabra,0.5
30,Armeria elongata subsp. elongata,3
30,Calamagrostis epigejos,0.5
30,Carex hirta,0.5
30,Carex praecox,0.5
30,Centaurea stoebe,0.5
30,Chondrilla juncea,0.1
30,Cirsium arvense,0.5
30,Echium vulgare,0.5
30,Erigeron annuus agg.,0.1
30,Euphorbia cyparissias,0.5
30,Festuca psammophila subsp. dominii,0.5
30,Helichrysum arenarium,0.5
30,Pilosella officinarum,0.5
30,Hypericum perforatum,3
30,Linaria genistifolia,0.5
30,Pinus sylvestris,0.1
30,Poa pratensis agg.,0.5
30,Potentilla argentea,0.5
30,Rumex acetosella,15
30,Senecio jacobaea,0.5
30,Seseli osseum,0.5
30,Silene nutans,0.5
30,Stipa borysthenica,15
30,Thymus serpyllum,15
30,Tragopogon dubius,0.1
30,Verbascum phoeniceum,0.5
32,Agrostis vinealis,0.5
32,Calamagrostis epigejos,87.5
32,Carex hirta,0.5
32,Erigeron annuus agg.,0.1
32,Hypericum perforatum,15
32,Pinus sylvestris,0.5
32,Poa palustris,0.5
32,Rumex acetosella,0.5
33,Achillea millefolium agg.,3
33,Armeria elongata subsp. elongata,0.5
33,Artemisia campestris,15
33,Carex hirta,0.5
33,Carex praecox,15
33,Corynephorus canescens,0.1
33,Cynodon dactylon,15
33,Erigeron annuus agg.,0.5
33,Eryngium campestre,15
33,Erysimum diffusum agg.,0.5
33,Euphorbia cyparissias,0.5
33,Festuca psammophila subsp. dominii,37.5
33,Helichrysum arenarium,3
33,Pilosella officinarum,0.5
33,Hypericum perforatum,3
33,Hypochaeris radicata,0.5
33,Linaria genistifolia,0.1
33,Poa compressa,0.5
33,Poa pratensis agg.,0.5
33,Potentilla argentea,0.5
33,Rumex acetosella,3
34,Calamagrostis epigejos,37.5
34,Carex hirta,0.5
34,Carex praecox,15
34,Cynoglossum officinale,0.5
34,Festuca valesiaca s. l.,15
34,Hypericum perforatum,15
34,Plantago lanceolata,0.5
34,Poa compressa,0.5
34,Poa pratensis agg.,0.5
34,Potentilla argentea,0.5
34,Rumex crispus,0.5
34,Silene latifolia subsp. alba,0.5
36,Anchusa officinalis,0.5
36,Arrhenatherum elatius,15
36,Artemisia vulgaris,0.5
36,Avenula pubescens,0.5
36,Chondrilla juncea,0.5
36,Cynodon dactylon,3
36,Elymus repens,3
36,Erysimum diffusum agg.,0.5
36,Euphorbia esula,0.5
36,Festuca valesiaca s. l.,15
36,Lolium perenne,0.5
36,Oenothera species,0.5
36,Plantago lanceolata,0.5
36,Poa pratensis agg.,3
36,Rumex crispus,0.5
36,Silene latifolia subsp. alba,0.5
36,Silene otites,0.1
36,Tragopogon dubius,0.5
36,Vicia villosa subsp. villosa,15
38,Achillea millefolium agg.,0.5
38,Agrostis vinealis,15
38,Anthoxanthum odoratum,15
38,Calamagrostis epigejos,15
38,Carex hirta,15
38,Carex praecox,3
38,Corynephorus canescens,15
38,Cynodon dactylon,0.5
38,Dianthus carthusianorum agg.,0.5
38,Festuca valesiaca s. l.,0.5
38,Frangula alnus,0.5
38,Hypericum perforatum,0.5
38,Linaria vulgaris,0.5
38,Luzula campestris,0.5
38,Poa pratensis agg.,0.5
38,Rumex acetosella,15
38,Hylotelephium maximum,0.5
39,Anthoxanthum odoratum,15
39,Calamagrostis epigejos,15
39,Carex hirta,0.5
39,Euphorbia cyparissias,3
39,Festuca psammophila subsp. dominii,3
39,Pilosella echioides,0.1
39,Holcus lanatus,0.5
39,Hypochaeris radicata,0.1
39,Pinus sylvestris,15.085
39,Poa pratensis agg.,3
39,Prunus cerasifera,0.5
39,Quercus petraea agg.,0.1
39,Robinia pseudoacacia,0.5
39,Rosa canina agg.,0.1
39,Rumex acetosa,0.1
39,Taraxacum sect. Taraxacum,0.1
39,Thymus serpyllum,3
40,Corynephorus canescens,15
42,Corynephorus canescens,15
42,Festuca psammophila subsp. dominii,3
46,Achillea millefolium agg.,0.1
46,Calamagrostis epigejos,3
46,Carex hirta,0.5
46,Corynephorus canescens,15
46,Hypochaeris radicata,0.5
46,Pinus sylvestris,0.1
46,Poa pratensis agg.,0.1
46,Rumex acetosella,15
46,Taraxacum sect. Taraxacum,0.1
47,Anthoxanthum odoratum,0.5
47,Artemisia campestris,3
47,Calamagrostis epigejos,3
47,Carex hirta,0.5
47,Carex stenophylla,3
47,Centaurea stoebe,3
47,Cynodon dactylon,0.1
47,Equisetum ramosissimum,0.1
47,Euphorbia cyparissias,15
47,Festuca psammophila subsp. dominii,0.5
47,Hypericum perforatum,0.5
47,Luzula campestris,3
47,Poa pratensis agg.,15
47,Rubus caesius,0.1
47,Rumex acetosella,15
47,Thymus serpyllum,3
48,Anthoxanthum odoratum,0.5
48,Artemisia campestris,0.1
48,Calamagrostis epigejos,3
48,Carex stenophylla,15
48,Centaurea stoebe,3
48,Corynephorus canescens,3
48,Cynodon dactylon,0.5
48,Echium vulgare,0.1
48,Eryngium campestre,0.1
48,Euphorbia cyparissias,0.5
48,Hypericum perforatum,3
48,Myosotis species,0.1
48,Poa pratensis agg.,3
48,Rumex acetosella,15
48,Agrostis vinealis,0.1
50,Corynephorus canescens,0.5
50,Cynodon dactylon,0.1
50,Erodium cicutarium,0.1
50,Poa pratensis agg.,0.1
50,Rumex acetosella,15
50,Silene vulgaris,0.1
50,Verbascum lychnitis,0.5
50,Vicia villosa subsp. villosa,0.5
51,Achillea millefolium agg.,0.5
51,Anthoxanthum odoratum,0.5
51,Calamagrostis epigejos,3
51,Carex hirta,0.5
51,Chondrilla juncea,0.5
51,Corynephorus canescens,3
51,Dactylis glomerata,3
51,Hypochaeris radicata,3
51,Oxalis species,0.5
51,Potentilla argentea,3
51,Rumex acetosella,15
51,Solidago gigantea,0.5
51,Stipa borysthenica,0.5
51,Taraxacum sect. Taraxacum,0.5
51,Trifolium repens,0.5
51,Veronica chamaedrys,0.1
51,Vicia villosa subsp. villosa,0.5
51,Erigeron annuus agg.,0.1
52,Achillea millefolium agg.,0.5
52,Avenula pubescens,0.5
52,Carex caryophyllea,0.5
52,Carex hirta,0.5
52,Carex praecox,37.5
52,Dianthus carthusianorum agg.,3
52,Elymus repens,0.5
52,Festuca valesiaca s. l.,3
52,Fragaria viridis,0.5
52,Hypochaeris radicata,0.5
52,Koeleria macrantha,3
52,Plantago lanceolata,0.5
52,Potentilla argentea,0.5
52,Veronica spicata,0.5
52,Rumex acetosella,0.5
52,Sedum acre,0.5
52,Silene latifolia subsp. alba,0.1
52,Silene otites,0.1
52,Thymus pannonicus agg.,3
52,Veronica prostrata,3
52,Vicia villosa subsp. villosa,0.1
52,Poa pratensis agg.,0.5
52,Euphorbia cyparissias,3
53,Ajuga genevensis,0.5
53,Anthoxanthum odoratum,3
53,Armeria elongata subsp. elongata,0.5
53,Artemisia campestris,0.5
53,Chondrilla juncea,0.1
53,Dianthus carthusianorum agg.,3
53,Elymus repens,0.5
53,Erysimum diffusum agg.,0.5
53,Euphorbia cyparissias,15
53,Festuca valesiaca s. l.,15
53,Iris variegata,0.1
53,Koeleria macrantha,0.5
53,Linaria genistifolia,0.5
53,Phleum phleoides,0.1
53,Plantago lanceolata,0.5
53,Potentilla argentea,0.5
53,Veronica spicata,0.5
53,Rumex acetosella,0.5
53,Scabiosa ochroleuca,0.5
53,Silene latifolia subsp. alba,0.1
53,Silene otites,0.5
53,Stipa borysthenica,15
53,Thesium ramosum,0.01
53,Thymus pannonicus agg.,0.5
53,Verbascum phoeniceum,3
53,Veronica prostrata,0.1
53,Poa pratensis agg.,0.01
54,Achillea millefolium agg.,0.1
54,Ajuga genevensis,3
54,Armeria elongata subsp. elongata,0.1
54,Arrhenatherum elatius,0.1
54,Asparagus officinalis,0.01
54,Avenula pubescens,3
54,Betonica officinalis,0.1
54,Calamagrostis epigejos,0.5
54,Carex caryophyllea,3
54,Carex hirta,0.1
54,Carex praecox,15
54,Chondrilla juncea,0.01
54,Colchicum autumnale,0.01
54,Dianthus carthusianorum agg.,0.5
54,Elymus repens,3
54,Erysimum diffusum agg.,0.1
54,Euphorbia cyparissias,15
54,Festuca valesiaca s. l.,15
54,Filipendula vulgaris,0.5
54,Fragaria viridis,0.5
54,Galium glaucum,0.5
54,Iris variegata,0.1
54,Koeleria macrantha,3
54,Lotus corniculatus,0.1
54,Viscaria vulgaris,0.1
54,Peucedanum oreoselinum,0.5
54,Pimpinella saxifraga,0.1
54,Plantago lanceolata,3
54,Potentilla argentea,0.5
54,Veronica spicata,0.1
54,Rumex acetosa,0.5
54,Rumex acetosella,0.5
54,Salvia pratensis,0.5
54,Scabiosa ochroleuca,0.5
54,Silene otites,0.01
54,Taraxacum sect. Taraxacum,0.1
54,Thymus pannonicus agg.,15
54,Trifolium montanum,0.5
54,Verbascum phoeniceum,0.1
54,Veronica prostrata,3
54,Poa pratensis agg.,0.1
55,Achillea millefolium agg.,0.5
55,Anthoxanthum odoratum,15
55,Armeria elongata subsp. elongata,0.5
55,Avenula pubescens,0.5
55,Bromus erectus,0.5
55,Calamagrostis epigejos,0.5
55,Carex hirta,0.1
55,Carex praecox,3
55,Cerastium arvense,3
55,Colchicum autumnale,0.1
55,Cruciata laevipes,0.1
55,Cynodon dactylon,0.5
55,Dianthus carthusianorum agg.,15
55,Euphorbia cyparissias,15
55,Festuca valesiaca s. l.,39.375
55,Filipendula vulgaris,0.5
55,Koeleria macrantha,15
55,Luzula campestris,0.5
55,Viscaria vulgaris,0.5
55,Peucedanum oreoselinum,0.1
55,Plantago lanceolata,3
55,Potentilla argentea,3
55,Rumex acetosella,0.5
55,Salvia pratensis,0.5
55,Scabiosa ochroleuca,0.5
55,Stipa borysthenica,15
55,Thymus pannonicus agg.,37.5
55,Poa pratensis agg.,0.5
55,Agrostis vinealis,0.5
56,Calamagrostis epigejos,0.5
56,Carex stenophylla,0.1
56,Centaurea stoebe,0.5
56,Corynephorus canescens,15
56,Cynodon dactylon,0.5
56,Festuca psammophila subsp. dominii,0.5
56,Hypericum perforatum,0.5
56,Hypochaeris radicata,3
56,Petrorhagia saxifraga,0.1
56,Poa pratensis agg.,3
56,Rumex acetosella,3
56,Rumex thyrsiflorus,3
56,Silene latifolia subsp. alba,0.5
57,Corynephorus canescens,37.5
57,Cynodon dactylon,0.5
57,Elymus repens,0.1
57,Hypochaeris radicata,0.1
57,Linaria genistifolia,0.1
57,Pinus sylvestris,0.1
57,Plantago lanceolata,0.1
57,Quercus petraea agg.,0.1
57,Rumex acetosella,0.5
58,Calamagrostis epigejos,0.5
58,Carex hirta,0.5
58,Corynephorus canescens,15
58,Cynodon dactylon,0.1
58,Pinus sylvestris,3
58,Rumex acetosella,3
59,Anthoxanthum odoratum,0.5
59,Calamagrostis epigejos,0.1
59,Chondrilla juncea,3
59,Corynephorus canescens,37.5
59,Cynodon dactylon,0.1
59,Erysimum diffusum agg.,0.01
59,Helichrysum arenarium,0.01
59,Hypericum perforatum,0.1
59,Hypochaeris radicata,0.1
59,Jasione montana,0.5
59,Rumex acetosella,0.5
59,Rumex thyrsiflorus,0.5
59,Silene latifolia subsp. alba,0.1
59,Silene otites,0.1
59,Solidago virgaurea,0.1
59,Festuca ovina s. l.,3
60,Corynephorus canescens,15
60,Pilosella echioides,0.1
61,Calamagrostis epigejos,0.1
61,Corynephorus canescens,15
61,Echium vulgare,0.01
61,Erodium cicutarium,0.1
61,Hypochaeris radicata,0.1
61,Jasione montana,0.5
63,Achillea millefolium agg.,0.1
63,Armeria elongata subsp. elongata,0.5
63,Carex praecox,3
63,Cynodon dactylon,0.1
63,Elymus hispidus,3
63,Erodium cicutarium,0.1
63,Eryngium campestre,0.5
63,Euphorbia cyparissias,3
63,Festuca valesiaca s. l.,37.5
63,Plantago lanceolata,15
63,Poa pratensis agg.,15
63,Potentilla argentea,0.1
63,Rumex acetosella,3
63,Rumex thyrsiflorus,0.1
64,Armeria elongata subsp. elongata,0.1
64,Asparagus officinalis,0.1
64,Corynephorus canescens,15
64,Elymus hispidus,0.5
64,Erysimum diffusum agg.,0.1
64,Euphorbia cyparissias,15
64,Festuca valesiaca s. l.,0.1
64,Helichrysum arenarium,0.5
64,Linaria genistifolia,0.5
64,Plantago lanceolata,3
64,Poa pratensis agg.,0.5
64,Rumex acetosella,3
64,Silene otites,0.5
65,Acer negundo,0.1
65,Achillea millefolium agg.,0.1
65,Corynephorus canescens,15
65,Echium vulgare,0.1
65,Erysimum diffusum agg.,0.1
65,Jasione montana,0.5
65,Linaria genistifolia,0.1
65,Pinus sylvestris,0.1
65,Potentilla verna agg.,0.5
65,Quercus petraea agg.,0.1
65,Rumex acetosella,0.1
65,Thymus serpyllum,0.5
66,Acer negundo,0.1
66,Achillea millefolium agg.,0.1
66,Armeria elongata subsp. elongata,0.1
66,Arrhenatherum elatius,3
66,Corynephorus canescens,3
66,Crataegus species,0.1
66,Elymus repens,0.1
66,Erysimum diffusum agg.,0.5
66,Euphorbia cyparissias,0.1
66,Festuca valesiaca s. l.,15
66,Hypochaeris radicata,0.01
66,Jasione montana,0.1
66,Linaria genistifolia,0.1
66,Pinus sylvestris,0.1
66,Quercus petraea agg.,0.1
66,Rosa canina agg.,0.1
66,Rumex acetosella,0.1
66,Sedum sexangulare,15
66,Solidago virgaurea,0.1
66,Stipa borysthenica,3
66,Thymus serpyllum,3
66,Potentilla verna agg.,3
66,Poa pratensis agg.,0.5
67,Achillea millefolium agg.,0.1
67,Arrhenatherum elatius,15
