Taxon,habitat
Myosotis stricta,ruderal
Myosoton aquaticum,ruderal
Myrrhis odorata,ruderal
Neslia paniculata,ruderal
Oenothera species,ruderal
Onopordum acanthium,ruderal
Oxalis stricta,ruderal
Panicum capillare,ruderal
Papaver argemone,ruderal
Papaver dubium agg.,ruderal
Persicaria lapathifolia,ruderal
Petasites kablikianus,ruderal
Peucedanum ostruthium,ruderal
Phalaris arundinacea,ruderal
Phleum phleoides,dry grassland
Pilosella officinarum,dry grassland
Pimpinella saxifraga,dry grassland
Plantago arenaria,ruderal
Poa remota,ruderal
Polygonum aviculare agg.,ruderal
Portulaca oleracea,ruderal
Potentilla argentea,sand
Potentilla incana,dry grassland
Primula elatior,ruderal
Pulsatilla grandis,dry grassland
Reseda lutea,ruderal
Rumex acetosella,dry grassland
Rumex acetosella,ruderal
Rumex alpinus,ruderal
Rumex arifolius,ruderal
Rumex thyrsiflorus,sand
Sagina procumbens,ruderal
Salsola tragus subsp. tragus,ruderal
Salvia nemorosa,dry grassland
Salvia nemorosa,ruderal
Sambucus ebulus,ruderal
Senecio viscosus,ruderal
Seseli hippomarathrum,dry grassland
Setaria pumila,ruderal
Setaria verticillata,ruderal
Setaria viridis,ruderal
Silene baccifera,ruderal
Silene dioica,ruderal
Silene otites,dry grassland
Sisymbrium altissimum,ruderal
Sisymbrium loeselii,ruderal
Sisymbrium officinale,ruderal
Solanum nigrum agg.,ruderal
Sonchus oleraceus,ruderal
Spergularia rubra,ruderal
Spergularia rubra,sand
Stachys palustris,ruderal
Stellaria nemorum,ruderal
Stipa capillata,ruderal
Stipa capillata,dry grassland
Stipa pennata,dry grassland
Stipa pulcherrima,dry grassland
Symphytum officinale,ruderal
Teesdalia nudicaulis,ruderal
Teesdalia nudicaulis,sand
Thymus glabrescens,dry grassland
Thymus pannonicus,dry grassland
Thymus praecox,dry grassland
Torilis japonica,ruderal
Trifolium arvense,dry grassland
Trifolium campestre,dry grassland
Urtica urens,ruderal
Valerianella dentata,ruderal
Veratrum album subsp. lobelianum,ruderal
Verbascum phlomoides,ruderal
Verbascum phoeniceum,dry grassland
Veronica arvensis,ruderal
Veronica hederifolia agg.,ruderal
Veronica prostrata,dry grassland
Veronica spicata,dry grassland
Veronica triphyllos,ruderal
Veronica verna,ruderal
Vicia hirsuta,ruderal
Vicia tetrasperma,ruderal
Viola odorata,ruderal
Viola tricolor subsp. tricolor,ruderal
Vulpia myuros,sand
Achillea pannonica,ruderal
Acinos arvensis,dry grassland
Adonis vernalis,dry grassland
Agrostis capillaris,sand
Ajuga chamaepitys subsp. chamaepitys,ruderal
Allium sphaerocephalon,dry grassland
Allium strictum,dry grassland
Alyssum montanum,dry grassland
Anagallis foemina,ruderal
Androsace septentrionalis,ruderal
Anthemis austriaca,ruderal
Anthericum liliago,dry grassland
Anthriscus cerefolium,ruderal
Anthriscus nitidus,ruderal
Arctium nemorosum,ruderal
Arenaria serpyllifolia agg.,dry grassland
Aristolochia clematitis,ruderal
Artemisia absinthium,sand
Artemisia pontica,dry grassland
Aruncus dioicus,ruderal
Asclepias syriaca,ruderal
Astragalus onobrychis,dry grassland
Atriplex oblongifolia,ruderal
Atriplex prostrata subsp. latifolia,ruderal
Atriplex rosea,ruderal
Atropa bella-donna,ruderal
Bassia scoparia,ruderal
Bidens frondosa,ruderal
Bifora radians,ruderal
Brachypodium sylvaticum,ruderal
Bromus commutatus,ruderal
Bromus inermis,dry grassland
Bromus inermis,ruderal
Bromus japonicus,ruderal
Bromus tectorum,sand
Buglossoides arvensis,ruderal
Bunias orientalis,ruderal
Bupleurum rotundifolium,ruderal
Calamagrostis arundinacea,ruderal
Calamagrostis pseudophragmites,ruderal
Calamagrostis villosa,ruderal
Campanula rapunculoides,ruderal
Campanula sibirica,dry grassland
Cannabis sativa var. sativa,ruderal
Carex hirta,ruderal
Carex hirta,sand
Carex michelii,dry grassland
Carex praecox,sand
Carex remota,ruderal
Carex sylvatica,ruderal
Caucalis platycarpos,ruderal
Cerastium arvense,dry grassland
Cerastium pumilum agg.,ruderal
Cerastium pumilum agg.,dry grassland
Cerinthe minor,ruderal
Chaerophyllum aureum,ruderal
Chaerophyllum bulbosum,ruderal
Chamaecytisus austriacus,dry grassland
Chamaecytisus ratisbonensis,dry grassland
Chenopodium ficifolium,ruderal
Chenopodium urbicum,ruderal
Chondrilla juncea,sand
Cichorium intybus,ruderal
Circaea lutetiana,ruderal
Cirsium vulgare,ruderal
Crambe tataria,dry grassland
Crepis capillaris,ruderal
Crepis foetida subsp. rhoeadifolia,ruderal
Crepis setosa,ruderal
Datura stramonium,ruderal
Daucus carota,ruderal
Dianthus carthusianorum,dry grassland
Dianthus pontederae,sand
Dorycnium pentaphyllum agg.,dry grassland
Dryopteris dilatata,ruderal
Echium vulgare,dry grassland
Epilobium collinum,ruderal
Epilobium hirsutum,ruderal
Epilobium montanum,ruderal
Equisetum ramosissimum,ruderal
Erigeron acris agg.,ruderal
Erigeron annuus agg.,ruderal
Eryngium campestre,ruderal
Eryngium campestre,sand
Erysimum diffusum,dry grassland
Erysimum virgatum agg.,ruderal
Eupatorium cannabinum,ruderal
Euphorbia cyparissias,sand
Euphorbia falcata,ruderal
Fallopia dumetorum,ruderal
Festuca ovina s. l.,sand
Festuca rupicola,ruderal
Festuca rupicola,dry grassland
Fragaria viridis,dry grassland
Fumaria officinalis,ruderal
Fumaria vaillantii,ruderal
Gagea bohemica,dry grassland
Gagea pusilla,dry grassland
Galatella linosyris,dry grassland
Galium glaucum,dry grassland
Galium odoratum,ruderal
Galium saxatile,ruderal
Galium tricornutum,ruderal
Genista pilosa,dry grassland
Glaucium corniculatum,dry grassland
Gymnocarpium dryopteris,ruderal
Helianthus tuberosus,ruderal
Heracleum mantegazzianum,ruderal
Heracleum sphondylium,ruderal
Hibiscus trionum,ruderal
Hypericum hirsutum,ruderal
Hypericum perforatum,sand
Impatiens noli-tangere,ruderal
Inula ensifolia,dry grassland
Inula hirta,dry grassland
Inula oculus-christi,dry grassland
Iris pumila,dry grassland
Iva xanthiifolia,ruderal
Jurinea mollis,dry grassland
Koeleria pyramidata,dry grassland
Lactuca perennis,dry grassland
Lappula squarrosa,ruderal
Leonurus cardiaca,ruderal
Linaria genistifolia,dry grassland
Linaria vulgaris,ruderal
Linum austriacum,dry grassland
Lunaria rediviva,ruderal
Malva pusilla,ruderal
Medicago lupulina,ruderal
Medicago minima,dry grassland
Medicago prostrata,dry grassland
Melica nutans,ruderal
